title,artist,link
Seated Nude (1957),Ruth Illingworth,./record/20933?highlight=*:*
Untitled (MAR 1997),Unknown,./record/21928?highlight=*:*
Standing Male Nude with White Cloth,Janet I. Coventry,./record/22665?highlight=*:*
Five Figures in Light and Shade (1960),Ann F Ward,./record/123104?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,./record/99421?highlight=*:*
Unknown (1949),Betty Elston,./record/50580?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,./record/22620?highlight=*:*
Untitled (Unknown),David C Duke,./record/21987?highlight=*:*
Portrait of a Woman (Pre 1949?),John Hunter,./record/21042?highlight=*:*
Unknown (Circa 1890),Unknown,./record/50468?highlight=*:*
Relic of Origins: Wild Boar (2013),Kyle Noble,./record/21304?highlight=*:*
Rosa Regolit (2007),Bridget Steed,./record/99973?highlight=*:*
Arizona (Unknown),Unknown,./record/21813?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,./record/21947?highlight=*:*
Portrait of a Seated Man in a Cap (1960),Kenneth Muir,./record/20983?highlight=*:*
Untitled (1967),Ian Roy,./record/21757?highlight=*:*
Drawn from Nature Exhibition Poster (Unknown),Unknown,./record/21847?highlight=*:*
Nude Male and Horse (Circa 1963),Leon Francesco Morrocco,./record/21399?highlight=*:*
Gates of Paradise (1835),Clement Pappi,./record/20577?highlight=*:*
Portrait of a Young Man (1950),Alexander F Mitchell,./record/21056?highlight=*:*
Play-Areas (Unknown),Wendy McMurdo,./record/21597?highlight=*:*
Ship yard (1965),Helen M. Percy,./record/102743?highlight=*:*
Standing Male Nude (1939),Heather Measham,./record/21137?highlight=*:*
Study of Three Skeletons (Circa 1961),William O. Little,./record/99268?highlight=*:*
Untitled (1966),Alistair T Hamilton,./record/99843?highlight=*:*
Untitled (1976),Ruth Stiven,./record/99492?highlight=*:*
Untitled (Unknown),Adam M Martin,./record/21830?highlight=*:*
Unknown (1986),Peter McLaren,./record/53533?highlight=*:*
Ayrshire christening robe (1800-1899),Unknown,./record/102679?highlight=*:*
Portrait of a Man,Jeffery S. Firth,./record/21327?highlight=*:*
Nude Reclining,John Johnstone,./record/122696?highlight=*:*
Untitled (1967),Helen Pollock,./record/112446?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,./record/99395?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,./record/113777?highlight=*:*
Sitting Nude Woman (1978),Jill R. Penman,./record/122716?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,./record/99414?highlight=*:*
Queen Anne chair cover (1700-1750),Unknown,./record/102711?highlight=*:*
Unknown,Alexander Cree,./record/50550?highlight=*:*
Reclining Nude,Augustus John,./record/122697?highlight=*:*
Donald Douglas (Actor) (1954),Mary C. A. Edmond,./record/122959?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,./record/20729?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,./record/20722?highlight=*:*
That's a Novel Concept (2007),Hannah Jasper,./record/99970?highlight=*:*
Kneeling Female Nude (1957),Andrew Conkie,./record/20925?highlight=*:*
Unknown,Mary C. A. Edmond,./record/53523?highlight=*:*
Seated Male Nude (1953),Diana Douglas-Hamilton,./record/20928?highlight=*:*
Small black figure with long wavy hair,Unknown,./record/20546?highlight=*:*
Unknown (1950),Zygmunt Bukowski,./record/53556?highlight=*:*
Untitled (Unknown),David C Duke,./record/21986?highlight=*:*
Unknown (Circa 1890),Unknown,./record/50465?highlight=*:*
Standing Boxer (1964),John Bellany,./record/20778?highlight=*:*
Matthew (1989),Janie Nichol,./record/50414?highlight=*:*
Unknown,Unknown,./record/50419?highlight=*:*
Untitled (1969),John Stewart,./record/22486?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,./record/21398?highlight=*:*
Untitled (1967),Arthur J Baglee,./record/99380?highlight=*:*
Unknown (1946),William G. Craig,./record/50510?highlight=*:*
Untitled - Abstract Forest Landscape (1962-1966),Laura McPherson,./record/99391?highlight=*:*
Untitled (1960),Kathleen Russell,./record/99522?highlight=*:*
Seated Man in Period Costume (1967),Wilson,./record/21267?highlight=*:*
Anat (1966),Norman Orr,./record/99405?highlight=*:*
Still Life with Vase of Fuchsias (1954),Edith Fraser,./record/22740?highlight=*:*
Seated Man in Traditional Dress (Undated but found amongst collection of ECA Diploma works from 1960s.),Barreton,./record/21290?highlight=*:*
Babies constructed bonnet (1890-1900),Unknown,./record/102672?highlight=*:*
Untitled,Jean M. A. Conacher,./record/112353?highlight=*:*
Female Model with Mirror (1962),Helen G. S Forde,./record/122864?highlight=*:*
Crow in Black Spectacles,Michael Orthenstein,./record/122251?highlight=*:*
Seated Male Nude with Blanket (1959),W Campbell,./record/20972?highlight=*:*
Bearded Goat (1920s),Emma Gillies,./record/53755?highlight=*:*
Angel playing a pipe (Unknown),Unknown,./record/20609?highlight=*:*
Untitled (Unknown),Unknown,./record/99918?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,./record/20932?highlight=*:*
Untitled (1986),Ian McKenzie Smith,./record/21708?highlight=*:*
Untitled (Unknown),Unknown,./record/21917?highlight=*:*
Teacup,Emma Gillies,./record/53640?highlight=*:*
Angel with hand raised in blessing,Unknown,./record/20545?highlight=*:*
Composition with Design Scratched in Plaster (1974),Margaret S. Clyde,./record/122912?highlight=*:*
Untitled (Unknown),S J Dooley,./record/99910?highlight=*:*
Untitled - Two Sitting Nude Women (1983-1984),Robert Maclaurin,./record/99427?highlight=*:*
Unknown (1947),Anne Anderson,./record/50529?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",./record/21701?highlight=*:*
Untitled - Country Houses and Fields (1963),Helen Wishart,./record/99451?highlight=*:*
Nude Sleeping,Raymon Pattie,./record/22529?highlight=*:*
Untitled (1968),Anne Lynch,./record/22492?highlight=*:*
Replica cast (white) of Parthenon slab GE31,Unknown,./record/20655?highlight=*:*
Untitled (1971),Ian Haycox,./record/21836?highlight=*:*
Standing Male Nude (1939-1940),Eleanora Borrie,./record/21133?highlight=*:*
The Candy Floss Vender,Unknown,./record/122769?highlight=*:*
Circus,Margaret A Leake,./record/21012?highlight=*:*
Nabucco (1983),Boris Bućan,./record/22031?highlight=*:*
For Peter (JUN 2002),Jeremy Mitchell,./record/21845?highlight=*:*
Of Carole Danielson (1964),Helen Cargill,./record/53585?highlight=*:*
Saucer,Emma Gillies,./record/53626?highlight=*:*
Untitled (1972),Ian Gengt (possibly),./record/21840?highlight=*:*
Sgraffito Wares I (Circa 1994),Lisa Ward,./record/122792?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,./record/21264?highlight=*:*
Untitled (1966),Gillian Mather,./record/22002?highlight=*:*
Untitled (1986),R. Euman,./record/21629?highlight=*:*
Untitled (Unknown),Unknown,./record/21994?highlight=*:*
Portrait of a Bearded Man (1960),Elise Brown,./record/20977?highlight=*:*
Nude and Kettle (1976),Fionna E. Carlisle,./record/22558?highlight=*:*
Orange (1985),Unknown,./record/21589?highlight=*:*
Still Life and Reflected Portrait (20 OCT 1962),John C Mark Jones,./record/99258?highlight=*:*
Rainman/Air Boys (2003),John Schulz,./record/99931?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,./record/20719?highlight=*:*
Drawing of a Seated Woman (1958),Jacqueline A N Stieger,./record/20787?highlight=*:*
Castor and Pollux (1835),Sarti,./record/20593?highlight=*:*
Don Juan (1983),Boris Bućan,./record/22038?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,./record/22552?highlight=*:*
Untitled,Shirley Brown,./record/22518?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,./record/22563?highlight=*:*
1st State (Unknown),Euan Gray,./record/21954?highlight=*:*
Still Life with Shadow of Kettle (1966),James H. Fairgrieve,./record/22734?highlight=*:*
Frieze from the Temple of Athena Nike (2nd right) (1827),NA,./record/20627?highlight=*:*
Untitled (1983),Robert Rivers,./record/99804?highlight=*:*
Study for Composition - The Long Journey (19 APR 1961),John Picking,./record/111039?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,./record/21174?highlight=*:*
The Sons of Usnach at Chess (1964),John B Vallely,./record/21006?highlight=*:*
Self-Portrait (Unknown),Justine Blair,./record/21727?highlight=*:*
Sitting Nude Woman (1952),Mollie E N Langlands,./record/122703?highlight=*:*
Untitled - Portrait of Girl in Glasses (1965),Laura McPherson,./record/99389?highlight=*:*
Begining (Unknown),Unknown,./record/21926?highlight=*:*
Diddly Doodly (2006),John Brown,./record/99953?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,./record/21436?highlight=*:*
The Ferry,Kathleen Russell,./record/123103?highlight=*:*
Gem cabinet 6 (of 6) containing 43 medallions (Unknown),Unknown,./record/20620?highlight=*:*
Untitled - The Magi (1963),Monika L I Uecker,./record/99444?highlight=*:*
Doric Order (abacus and capital) of the Parthenon,NA,./record/20638?highlight=*:*
Standing Male Nude (1930-1931),John McNairn,./record/21140?highlight=*:*
Valerie (Circa 1987),Renny Tait,./record/20752?highlight=*:*
Portrait of a Woman (1963),Roger Cameron,./record/21319?highlight=*:*
Silhouetted Head,Leslie C. McConnell,./record/122920?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,./record/20876?highlight=*:*
Kitchen Interior,Ruth Walker,./record/122896?highlight=*:*
Portrait of a Man (1939-1940),Robert A Campbell,./record/21127?highlight=*:*
Harbour at Night,Derek McGuire,./record/21511?highlight=*:*
Chinese sleeveband. waves,Unknown,./record/102703?highlight=*:*
Untitled (1967),Gwen Mackenzie,./record/111034?highlight=*:*
Reclining Nude - Female (1953),Mary C. A. Edmond,./record/22722?highlight=*:*
Untitled (1964),Helen Cargill,./record/22484?highlight=*:*
Unknown,Unknown,./record/50450?highlight=*:*
Cape May (1983),G.M. L.,./record/21975?highlight=*:*
Self Portrait in White Apron,Unknown,./record/22600?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,./record/99364?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,./record/100011?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,./record/99447?highlight=*:*
Jockeys,Alexander S Campbell,./record/122845?highlight=*:*
The Judgement of Paris (1959),Kenneth Dingwall,./record/22713?highlight=*:*
Railway Track (2002),Manson Heather,./record/112495?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,./record/21785?highlight=*:*
Head (1987),Janice McNab,./record/22685?highlight=*:*
Seated Male Nude (1959),Ronald G Browne,./record/21156?highlight=*:*
The Ruins (1948),James W. H. Cumming,./record/122793?highlight=*:*
Nudes on the Beach (1953),Moira E. Brown,./record/122830?highlight=*:*
Portrait of a Woman (Circa 1939),Ian R McRobbie,./record/21138?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,./record/21064?highlight=*:*
Nugget (2013),Charlotte Roseberry,./record/21301?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,./record/21180?highlight=*:*
135 (2015),Mark Osborne,./record/53775?highlight=*:*
Unknown (1949),T. A. Sutter Watt,./record/50456?highlight=*:*
Needlebook,Winsome Douglass,./record/113830?highlight=*:*
Figures in an Interior,Henry Rogers,./record/21491?highlight=*:*
Spinario (Late 19th Century),Musée Royal du Louvre,./record/20574?highlight=*:*
Untitled (1963),Ruth Walker,./record/22023?highlight=*:*
Nikola Subić Zrinjski (1983),Boris Bućan,./record/22033?highlight=*:*
Unknown (1989),Joanne Leonie Milne,./record/123511?highlight=*:*
Antique Life drawing - 3rd Year (1962),Kathleen Russell,./record/99520?highlight=*:*
Saucer,Emma Gillies,./record/53628?highlight=*:*
Traviata (Unknown),Boris Bućan,./record/22470?highlight=*:*
Jug (1920s),Emma Gillies,./record/122541?highlight=*:*
